GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;;;;;;;;;
Libro Auxiliar entre el 01/01/2026 y el 31/03/2026;;;;;;;;;
Elaborado Bajo Normas Locales;;;;;;;;;
Inventario;Cuenta;Tercero;Fecha;Nota;Cheque;Doc Num;Débitos;Créditos;Saldo
CELILAR MOTOROLA G56 256GB 5G VERDE ACTIF-158;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;799.050,00;0,00;799.050,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;799.050,00;0,00;799.050,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;35.958,00;-35.958,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CELILAR MOTOROLA G56 256GB 5G VERDE;;(GCG) dp 96;0,00;11.986,00;-47.944,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CELILAR MOTOROLA G56 256GB 5G VERDE;;(GCG) dp 97;0,00;11.986,00;-59.930,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELILAR MOTOROLA G56 256GB 5G VERDE;;(GCG) dp 98;0,00;11.986,00;-71.916,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;71.916,00;-71.916,00
Total CELILAR MOTOROLA G56 256GB 5G VERDE ACTIF-158;;;;;;;799.050,00;71.916,00;727.134,00
CELULAR  MOTOROLA 4G  G9PLAY ACTIF-039 CELULAR 4G MOTOROLA G9;152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;499.900,00;0,00;499.900,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;499.900,00;0,00;499.900,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;449.910,00;-449.910,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;449.910,00;-449.910,00
Total CELULAR  MOTOROLA 4G  G9PLAY ACTIF-039 CELULAR 4G MOTOROLA G9;;;;;;;499.900,00;449.910,00;49.990,00
CELULAR GALAXY A 12 128 GB ACTIF-044 CELULAR GALAXY A 12 128 GB;152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;669.900,00;0,00;669.900,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;669.900,00;0,00;669.900,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;602.910,00;-602.910,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;602.910,00;-602.910,00
Total CELULAR GALAXY A 12 128 GB ACTIF-044 CELULAR GALAXY A 12 128 GB;;;;;;;669.900,00;602.910,00;66.990,00
CELULAR GALAXY A 12 BLUE ACTIF-049 CELULAR  GALAXY A12 BLUE;152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;669.900,00;0,00;669.900,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;669.900,00;0,00;669.900,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;602.910,00;-602.910,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;602.910,00;-602.910,00
Total CELULAR GALAXY A 12 BLUE ACTIF-049 CELULAR  GALAXY A12 BLUE;;;;;;;669.900,00;602.910,00;66.990,00
CELULAR HUAWEI Y5 2018 GOLD ACTIF-017;152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;292.936,00;0,00;292.936,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;292.936,00;0,00;292.936,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;263.642,00;-263.642,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;263.642,00;-263.642,00
Total CELULAR HUAWEI Y5 2018 GOLD ACTIF-017;;;;;;;292.936,00;263.642,00;29.294,00
CELULAR MOTOROLA G20 128 GB ACTIF-060 CELULAR MOTOROLA G20;152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;3.654.640,00;0,00;3.654.640,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;3.654.640,00;0,00;3.654.640,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;1.735.188,00;-1.735.188,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.735.188,00;-1.735.188,00
Total CELULAR MOTOROLA G20 128 GB ACTIF-060 CELULAR MOTOROLA G20;;;;;;;3.654.640,00;1.735.188,00;1.919.452,00
CELULAR MOTOROLA G20 4G 128 GB ACTIF-055 CELULAR MOTOROLA G20;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;679.900,00;0,00;679.900,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;679.900,00;0,00;679.900,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;611.910,00;-611.910,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;611.910,00;-611.910,00
Total CELULAR MOTOROLA G20 4G 128 GB ACTIF-055 CELULAR MOTOROLA G20;;;;;;;679.900,00;611.910,00;67.990,00
CELULAR MOTOROLA G23 128 GB X 23331 GX ACTIF-086 CELULAR MOTOROLA G23;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;1.155.040,00;0,00;1.155.040,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;1.155.040,00;0,00;1.155.040,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;475.488,00;-475.488,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CELULAR MOTOROLA G23 128 GB X 23331 GX;;(GCG) dp 96;0,00;18.288,00;-493.776,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CELULAR MOTOROLA G23 128 GB X 23331 GX;;(GCG) dp 97;0,00;18.288,00;-512.064,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR MOTOROLA G23 128 GB X 23331 GX;;(GCG) dp 98;0,00;18.288,00;-530.352,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;530.352,00;-530.352,00
Total CELULAR MOTOROLA G23 128 GB X 23331 GX ACTIF-086 CELULAR MOTOROLA G23;;;;;;;1.155.040,00;530.352,00;624.688,00
CELULAR MOTOROLA G24 POWER 256 GB ACTIF-129;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;1.462.560,00;0,00;1.462.560,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;1.462.560,00;0,00;1.462.560,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;353.445,00;-353.445,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CELULAR MOTOROLA G24 POWER 256 GB;;(GCG) dp 96;0,00;23.563,00;-377.008,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CELULAR MOTOROLA G24 POWER 256 GB;;(GCG) dp 97;0,00;23.563,00;-400.571,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR MOTOROLA G24 POWER 256 GB;;(GCG) dp 98;0,00;23.563,00;-424.134,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;424.134,00;-424.134,00
Total CELULAR MOTOROLA G24 POWER 256 GB ACTIF-129;;;;;;;1.462.560,00;424.134,00;1.038.426,00
CELULAR MOTOROLA G34 256 GB ACTIF-136;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;659.900,00;0,00;659.900,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;659.900,00;0,00;659.900,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;98.990,00;-98.990,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CELULAR MOTOROLA G34 256 GB;;(GCG) dp 96;0,00;9.899,00;-108.889,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CELULAR MOTOROLA G34 256 GB;;(GCG) dp 97;0,00;9.899,00;-118.788,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR MOTOROLA G34 256 GB;;(GCG) dp 98;0,00;9.899,00;-128.687,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;128.687,00;-128.687,00
Total CELULAR MOTOROLA G34 256 GB ACTIF-136;;;;;;;659.900,00;128.687,00;531.213,00
CELULAR MOTOROLA G42 128 GB VERDE ACTIF-077 CELULAR MOTOROLA;152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;732.990,00;0,00;732.990,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;732.990,00;0,00;732.990,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;373.830,00;-373.830,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CELULAR MOTOROLA G42 128 GB VERDE;;(GCG) dp 96;0,00;10.995,00;-384.825,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CELULAR MOTOROLA G42 128 GB VERDE;;(GCG) dp 97;0,00;10.995,00;-395.820,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR MOTOROLA G42 128 GB VERDE;;(GCG) dp 98;0,00;10.995,00;-406.815,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;406.815,00;-406.815,00
Total CELULAR MOTOROLA G42 128 GB VERDE ACTIF-077 CELULAR MOTOROLA;;;;;;;732.990,00;406.815,00;326.175,00
CELULAR MOTOROLA MOTO G04 128GB 4G ACTIF-115;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;795.040,00;0,00;795.040,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;795.040,00;0,00;795.040,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;264.348,00;-264.348,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CELULAR MOTOROLA MOTO G04 128GB 4G;;(GCG) dp 96;0,00;12.588,00;-276.936,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CELULAR MOTOROLA MOTO G04 128GB 4G;;(GCG) dp 97;0,00;12.588,00;-289.524,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR MOTOROLA MOTO G04 128GB 4G;;(GCG) dp 98;0,00;12.588,00;-302.112,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;302.112,00;-302.112,00
Total CELULAR MOTOROLA MOTO G04 128GB 4G ACTIF-115;;;;;;;795.040,00;302.112,00;492.928,00
CELULAR MOTOROLA MOTO G22 128GB 4G ACTIF-090;152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;1.408.560,00;0,00;1.408.560,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;1.408.560,00;0,00;1.408.560,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;544.632,00;-544.632,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CELULAR MOTOROLA MOTO G22 128GB 4G;;(GCG) dp 96;0,00;22.693,00;-567.325,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CELULAR MOTOROLA MOTO G22 128GB 4G;;(GCG) dp 97;0,00;22.693,00;-590.018,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR MOTOROLA MOTO G22 128GB 4G;;(GCG) dp 98;0,00;22.693,00;-612.711,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;612.711,00;-612.711,00
Total CELULAR MOTOROLA MOTO G22 128GB 4G ACTIF-090;;;;;;;1.408.560,00;612.711,00;795.849,00
CELULAR MOTOROLA MOTO G85 256 5G ACTIF-131;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;987.520,00;0,00;987.520,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;987.520,00;0,00;987.520,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;177.756,00;-177.756,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CELULAR MOTOROLA MOTO G85 256 5G;;(GCG) dp 96;0,00;14.813,00;-192.569,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CELULAR MOTOROLA MOTO G85 256 5G;;(GCG) dp 97;0,00;14.813,00;-207.382,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR MOTOROLA MOTO G85 256 5G;;(GCG) dp 98;0,00;14.813,00;-222.195,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;222.195,00;-222.195,00
Total CELULAR MOTOROLA MOTO G85 256 5G ACTIF-131;;;;;;;987.520,00;222.195,00;765.325,00
CELULAR MOTOROLA MOTOE 6 PLUS 357248103962191 ACTIF-018;152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;477.520,00;0,00;477.520,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;477.520,00;0,00;477.520,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;429.768,00;-429.768,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;429.768,00;-429.768,00
Total CELULAR MOTOROLA MOTOE 6 PLUS 357248103962191 ACTIF-018;;;;;;;477.520,00;429.768,00;47.752,00
CELULAR MOTOROLA MOTOE 6 PLUS 357248103991414 ACTIF-019;152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;477.520,00;0,00;477.520,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;477.520,00;0,00;477.520,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;429.768,00;-429.768,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;429.768,00;-429.768,00
Total CELULAR MOTOROLA MOTOE 6 PLUS 357248103991414 ACTIF-019;;;;;;;477.520,00;429.768,00;47.752,00
CELULAR REDMI 15 256 GB ACTIF-164;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;COLOMBIANA DE COMERCIO S.A.;15/02/2026;FC1011282 CELULAR DR.GERARDO TC.8405;;(GCG) FC 749;799.050,00;0,00;799.050,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;799.050,00;0,00;799.050,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CELULAR REDMI 15 256 GB;;(GCG) dp 97;0,00;11.986,00;-11.986,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR REDMI 15 256 GB;;(GCG) dp 98;0,00;11.986,00;-23.972,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;23.972,00;-23.972,00
Total CELULAR REDMI 15 256 GB ACTIF-164;;;;;;;799.050,00;23.972,00;775.078,00
CELULAR REDMI NOTE 14 256 GB ACTIF-140;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;849.900,00;0,00;849.900,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;849.900,00;0,00;849.900,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;76.494,00;-76.494,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CELULAR REDMI NOTE 14 256 GB;;(GCG) dp 96;0,00;12.749,00;-89.243,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CELULAR REDMI NOTE 14 256 GB;;(GCG) dp 97;0,00;12.749,00;-101.992,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR REDMI NOTE 14 256 GB;;(GCG) dp 98;0,00;12.749,00;-114.741,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;114.741,00;-114.741,00
Total CELULAR REDMI NOTE 14 256 GB ACTIF-140;;;;;;;849.900,00;114.741,00;735.159,00
CELULAR VIVO Y21D 256 GB ACTIF-161;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;COLOMBIANA DE COMERCIO S.A.;26/01/2026;FC2563620 CELULAR JEFE DE OPERACIONES BOG;;(GCG) FC 406;899.050,00;0,00;899.050,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;899.050,00;0,00;899.050,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CELULAR VIVO Y21D 256 GB;;(GCG) dp 97;0,00;13.502,00;-13.502,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR VIVO Y21D 256 GB;;(GCG) dp 98;0,00;13.502,00;-27.004,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;27.004,00;-27.004,00
Total CELULAR VIVO Y21D 256 GB ACTIF-161;;;;;;;899.050,00;27.004,00;872.046,00
CELULAR XIAMI NOTE 15 256 GB 1 ACTIF-167;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;INVERSIONES HARLEX SAS;09/03/2026;FC426 XIAOMI NOTE BOG;;(GCG) FC 1176;800.000,00;0,00;800.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;800.000,00;0,00;800.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR XIAMI NOTE 15 256 GB 1;;(GCG) dp 98;0,00;12.000,00;-12.000,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;12.000,00;-12.000,00
Total CELULAR XIAMI NOTE 15 256 GB 1 ACTIF-167;;;;;;;800.000,00;12.000,00;788.000,00
CELULAR XIAMI NOTE 15 256 GB 2 ACTIF-168;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;INVERSIONES HARLEX SAS;09/03/2026;FC426 XIAOMI NOTE BOG;;(GCG) FC 1176;800.000,00;0,00;800.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;800.000,00;0,00;800.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR XIAMI NOTE 15 256 GB 2;;(GCG) dp 98;0,00;12.000,00;-12.000,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;12.000,00;-12.000,00
Total CELULAR XIAMI NOTE 15 256 GB 2 ACTIF-168;;;;;;;800.000,00;12.000,00;788.000,00
CELULAR XIAMI NOTE 15 256 GB 3 ACTIF-169;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;INVERSIONES HARLEX SAS;09/03/2026;FC426 XIAOMI NOTE BOG;;(GCG) FC 1176;800.000,00;0,00;800.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;800.000,00;0,00;800.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR XIAMI NOTE 15 256 GB 3;;(GCG) dp 98;0,00;12.000,00;-12.000,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;12.000,00;-12.000,00
Total CELULAR XIAMI NOTE 15 256 GB 3 ACTIF-169;;;;;;;800.000,00;12.000,00;788.000,00
"CELULAR XIAOMI  POCO M3 128GB ""NEGRO ACTIF-030";152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;729.900,00;0,00;729.900,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;729.900,00;0,00;729.900,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;656.910,00;-656.910,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;656.910,00;-656.910,00
"Total CELULAR XIAOMI  POCO M3 128GB ""NEGRO ACTIF-030";;;;;;;729.900,00;656.910,00;72.990,00
CELULAR XIAOMI REDMI  NOTE 13 256 GB ACTIF-135;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;697.520,00;0,00;697.520,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;697.520,00;0,00;697.520,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;104.630,00;-104.630,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CELULAR XIAOMI REDMI  NOTE 13 256 GB;;(GCG) dp 96;0,00;10.463,00;-115.093,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CELULAR XIAOMI REDMI  NOTE 13 256 GB;;(GCG) dp 97;0,00;10.463,00;-125.556,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CELULAR XIAOMI REDMI  NOTE 13 256 GB;;(GCG) dp 98;0,00;10.463,00;-136.019,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;136.019,00;-136.019,00
Total CELULAR XIAOMI REDMI  NOTE 13 256 GB ACTIF-135;;;;;;;697.520,00;136.019,00;561.501,00
COLCHON + DOMIER ALHOADAS ACTIF-067 COMBO HAPPY STAR;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;2.705.000,00;0,00;2.705.000,00
;Total 152405 MUEBLES Y ENSERES;;;;;;2.705.000,00;0,00;2.705.000,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;831.808,00;-831.808,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COLCHON + DOMIER ALHOADAS;;(GCG) dp 96;0,00;20.288,00;-852.096,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COLCHON + DOMIER ALHOADAS;;(GCG) dp 97;0,00;20.288,00;-872.384,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COLCHON + DOMIER ALHOADAS;;(GCG) dp 98;0,00;20.288,00;-892.672,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;892.672,00;-892.672,00
Total COLCHON + DOMIER ALHOADAS ACTIF-067 COMBO HAPPY STAR;;;;;;;2.705.000,00;892.672,00;1.812.328,00
COMPUTADOR  HP INTER CORE I7 16GB ACTIF-133;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;15.000.000,00;0,00;15.000.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;15.000.000,00;0,00;15.000.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;2.120.832,00;-2.120.832,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR  HP INTER CORE I7 16GB;;(GCG) dp 96;0,00;245.833,00;-2.366.665,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR  HP INTER CORE I7 16GB;;(GCG) dp 97;0,00;245.833,00;-2.612.498,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR  HP INTER CORE I7 16GB;;(GCG) dp 98;0,00;245.833,00;-2.858.331,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;2.858.331,00;-2.858.331,00
Total COMPUTADOR  HP INTER CORE I7 16GB ACTIF-133;;;;;;;15.000.000,00;2.858.331,00;12.141.669,00
COMPUTADOR  LENOVO TINY m720q ACTIF-043;152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;2.308.000,00;0,00;2.308.000,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;2.308.000,00;0,00;2.308.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;1.688.976,00;-1.688.976,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR  LENOVO TINY m720q;;(GCG) dp 96;0,00;35.187,00;-1.724.163,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR  LENOVO TINY m720q;;(GCG) dp 97;0,00;35.187,00;-1.759.350,00
